stairs.thisTrialN,stairs.stepSize,stairs.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stairs.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
11,1,3.0,10.834223100000145,,10.82001809999997,10.834223100000145,11.334949499999993,11.334949499999993,11.334949499999993,11.633923999999979,11.737663300000122,left,-3.0,1,1,0.4000538999998753,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
12,1,2.0,11.75194190000002,,11.737882000000127,11.75194190000002,12.249414300000126,12.249414300000126,12.265807799999948,12.550220900000113,12.668957600000113,right,2.0,1,1,0.4116437999998652,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
13,0.5,2.0,12.683466299999964,,12.669134700000086,12.683466299999964,13.184005900000102,13.184005900000102,13.184005900000102,13.483526400000073,13.586142000000109,left,-2.0,0,0,0.3900312999999187,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
14,0.5,2.5,13.601981100000103,,13.586330999999973,13.601981100000103,14.100803600000063,14.100803600000063,14.117046300000084,14.400066899999956,14.518970500000023,left,-2.5,1,1,0.4114407999998093,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
15,0.5,2.5,14.533175000000028,,14.51914899999997,14.533175000000028,15.033348500000102,15.033348500000102,15.033348500000102,15.333118900000045,15.435353100000157,right,2.5,1,1,0.39546740000014324,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
16,0.5,2.5,15.449788600000147,,15.435535200000004,15.449788600000147,15.949744799999962,15.949744799999962,15.949744799999962,16.250070900000082,16.452216500000077,left,-2.5,1,1,0.4907530999998926,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
17,0.5,2.0,16.467110000000048,,16.452468200000112,16.467110000000048,16.967501800000036,16.967501800000036,16.967501800000036,17.266510700000026,17.35272729999997,left,-2.0,0,0,0.3796118000000206,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
18,0.5,2.5,17.367491500000142,,17.35291910000001,17.367491500000142,17.867264700000078,17.867264700000078,17.867264700000078,18.166761899999983,18.268848599999956,right,2.5,0,0,0.39085980000004383,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
19,0.5,3.0,18.283173799999986,,18.269049600000017,18.283173799999986,18.78338389999999,18.78338389999999,18.78338389999999,19.08292110000002,19.368539900000087,left,-3.0,1,1,0.5779952000000321,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
20,0.5,3.0,19.383179400000017,,19.368719499999997,19.383179400000017,19.882618000000093,19.882618000000093,19.882618000000093,20.182735999999977,20.268326600000137,left,-3.0,0,0,0.3696100000001934,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
21,0.5,3.5,20.28283310000006,,20.268497100000104,20.28283310000006,20.78186359999995,20.78186359999995,20.78186359999995,21.082384100000127,21.367899699999953,left,-3.5,1,1,0.5687615000001642,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
22,0.5,3.5,21.38240360000009,,21.368070500000158,21.38240360000009,21.865942900000164,21.865942900000164,21.882217699999956,22.166457199999968,22.352148899999975,right,3.5,1,1,0.4777648000001591,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
23,0.5,3.5,22.366501900000003,,22.352328899999975,22.366501900000003,22.866015300000072,22.866015300000072,22.866015300000072,23.167041100000006,23.28580469999997,right,3.5,1,1,0.41477020000002085,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
24,0.5,3.0,23.30014559999995,,23.286010199999964,23.30014559999995,23.798726200000146,23.798726200000146,23.798726200000146,24.09902360000001,24.302491600000167,left,-3.0,1,1,0.4907547999998769,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
25,0.5,3.0,24.31668310000009,,24.30273299999999,24.31668310000009,24.81586040000002,24.81586040000002,24.81586040000002,25.114974400000165,25.251940300000115,right,3.0,1,1,0.4338996000001316,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
